ID	Gene	Specificity	Cell type
SMPD3	SMPD3	positive	Plasmacytoid dendritic
SND1	SND1	positive	Plasmacytoid dendritic
SNRNP25	SNRNP25	positive	Plasmacytoid dendritic
SNRPN	SNRPN	positive	Plasmacytoid dendritic
SORL1	SORL1	positive	Plasmacytoid dendritic
SP4	SP4	positive	Plasmacytoid dendritic
SPATA5	SPATA5	positive	Plasmacytoid dendritic
SPCS1	SPCS1	positive	Plasmacytoid dendritic
SPIB	SPIB	positive	Plasmacytoid dendritic
SPICE1	SPICE1	positive	Plasmacytoid dendritic
SPNS3	SPNS3	positive	Plasmacytoid dendritic
SPON2	SPON2	positive	Plasmacytoid dendritic
SSR4	SSR4	positive	Plasmacytoid dendritic
ST3GAL2	ST3GAL2	positive	Plasmacytoid dendritic
ST3GAL4	ST3GAL4	positive	Plasmacytoid dendritic
ST6GALNAC4	ST6GALNAC4	positive	Plasmacytoid dendritic
STAMBPL1	STAMBPL1	positive	Plasmacytoid dendritic
STMN1	STMN1	positive	Plasmacytoid dendritic
STRBP	STRBP	positive	Plasmacytoid dendritic
STT3A	STT3A	positive	Plasmacytoid dendritic
SULF2	SULF2	positive	Plasmacytoid dendritic
SUSD1	SUSD1	positive	Plasmacytoid dendritic
SYS1	SYS1	positive	Plasmacytoid dendritic
TACC1	TACC1	positive	Plasmacytoid dendritic
TASP1	TASP1	positive	Plasmacytoid dendritic
TATDN3	TATDN3	positive	Plasmacytoid dendritic
TAX1BP3	TAX1BP3	positive	Plasmacytoid dendritic
TBC1D4	TBC1D4	positive	Plasmacytoid dendritic
TBCC	TBCC	positive	Plasmacytoid dendritic
TCF4	TCF4	positive	Plasmacytoid dendritic
TCL1A	TCL1A	positive	Plasmacytoid dendritic
TEX2	TEX2	positive	Plasmacytoid dendritic
TGFBI	TGFBI	positive	Plasmacytoid dendritic
TGFBR2	TGFBR2	positive	Plasmacytoid dendritic
TLR7	TLR7	positive	Plasmacytoid dendritic
TMEM109	TMEM109	positive	Plasmacytoid dendritic
TMEM19	TMEM19	positive	Plasmacytoid dendritic
TMEM63A	TMEM63A	positive	Plasmacytoid dendritic
TMIGD2	TMIGD2	positive	Plasmacytoid dendritic
TNFAIP3	TNFAIP3	positive	Plasmacytoid dendritic
TNFRSF21	TNFRSF21	positive	Plasmacytoid dendritic
TP53I11	TP53I11	positive	Plasmacytoid dendritic
TP53I13	TP53I13	positive	Plasmacytoid dendritic
TPM2	TPM2	positive	Plasmacytoid dendritic
TPST2	TPST2	positive	Plasmacytoid dendritic
TRAF4	TRAF4	positive	Plasmacytoid dendritic
TRAM1	TRAM1	positive	Plasmacytoid dendritic
TRDMT1	TRDMT1	positive	Plasmacytoid dendritic
TRIM74	TRIM74	positive	Plasmacytoid dendritic
TRRAP	TRRAP	positive	Plasmacytoid dendritic
TSPAN13	TSPAN13	positive	Plasmacytoid dendritic
TSPAN3	TSPAN3	positive	Plasmacytoid dendritic
TTC24	TTC24	positive	Plasmacytoid dendritic
TUBB6	TUBB6	positive	Plasmacytoid dendritic
TULP4	TULP4	positive	Plasmacytoid dendritic
TXN	TXN	positive	Plasmacytoid dendritic
TXNDC5	TXNDC5	positive	Plasmacytoid dendritic
UBA5	UBA5	positive	Plasmacytoid dendritic
UBE2J1	UBE2J1	positive	Plasmacytoid dendritic
UGCG	UGCG	positive	Plasmacytoid dendritic
USP11	USP11	positive	Plasmacytoid dendritic
USP24	USP24	positive	Plasmacytoid dendritic
VAMP1	VAMP1	positive	Plasmacytoid dendritic
VEGFB	VEGFB	positive	Plasmacytoid dendritic
VIPR2	VIPR2	positive	Plasmacytoid dendritic
ZBTB33	ZBTB33	positive	Plasmacytoid dendritic
ZDHHC17	ZDHHC17	positive	Plasmacytoid dendritic
ZDHHC4	ZDHHC4	positive	Plasmacytoid dendritic
ZFAT	ZFAT	positive	Plasmacytoid dendritic
ZFYVE26	ZFYVE26	positive	Plasmacytoid dendritic
ZNF506	ZNF506	positive	Plasmacytoid dendritic
ZNF527	ZNF527	positive	Plasmacytoid dendritic
BSG	BSG	positive	Platelet
CCL5	CCL5	positive	Platelet
CCR3	CCR3	positive	Platelet
CD109	CD109	positive	Platelet
CD14	CD14	positive	Platelet
CD151	CD151	positive	Platelet
CD226	CD226	positive	Platelet
CD36	CD36	positive	Platelet
CD40LG	CD40LG	positive	Platelet
CD46	CD46	positive	Platelet
CD47	CD47	positive	Platelet
CD48	CD48	positive	Platelet
CD63	CD63	positive	Platelet
CD69	CD69	positive	Platelet
CD84	CD84	positive	Platelet
CD9	CD9	positive	Platelet
CSF3R	CSF3R	positive	Platelet
FCER1A	FCER1A	positive	Platelet
FCGR2A	FCGR2A	positive	Platelet
FCGR2B	FCGR2B	positive	Platelet
FCGR2C	FCGR2C	positive	Platelet
GP1BA	GP1BA	positive	Platelet
ICAM2	ICAM2	positive	Platelet
ITGA2	ITGA2	positive	Platelet
ITGA2B	ITGA2B	positive	Platelet
ITGA6	ITGA6	positive	Platelet
ITGAV	ITGAV	positive	Platelet
ITGB1	ITGB1	positive	Platelet
ITGB3	ITGB3	positive	Platelet
JAM3	JAM3	positive	Platelet
LAMP2	LAMP2	positive	Platelet
LRRC32	LRRC32	positive	Platelet
NA	NA	positive	Platelet
PDGFB	PDGFB	positive	Platelet
PECAM1	PECAM1	positive	Platelet
SELP	SELP	positive	Platelet
SPN	SPN	positive	Platelet
SRC	SRC	positive	Platelet
TNFSF14	TNFSF14	positive	Platelet
VEGFA	VEGFA	positive	Platelet
CD34	CD34	positive	Progenitor-like angiogenesis-promoting
CD24	CD24	positive	Red blood (erythrocyte)
GYPA	GYPA	positive	Red blood (erythrocyte)
NA	NA	positive	Red blood (erythrocyte)
PTPRC	PTPRC	positive	Red blood (erythrocyte)
IL7R	IL7R	positive	Regulatory T (Treg)
ITGA4	ITGA4	positive	Regulatory T (Treg)
LRRC32	LRRC32	positive	Regulatory T (Treg)
TNFRSF18	TNFRSF18	positive	Regulatory T (Treg)
CD4	CD4	positive	Responder T
IL2RA	IL2RA	positive	Responder T
LRRC32	LRRC32	positive	Responder T
CD27	CD27	positive	Switched memory B
IgDfamily	IgDfamily	positive	Switched memory B
CD3D	CD3D	positive	T
CD3E	CD3E	positive	T
CD3G	CD3G	positive	T
CD8A	CD8A	positive	T
NA	NA	positive	T
UCHL1	UCHL1	positive	T
GP1BA	GP1BA	positive	T helper
PECAM1	PECAM1	positive	Thymic emigrant
PTPRC	PTPRC	positive	Thymic emigrant
SELL	SELL	positive	Thymic emigrant
CD24	CD24	positive	Transitional B
CD38	CD38	positive	Transitional B
KIT	KIT	positive	Vascular progenitor
MKI67	MKI67	positive	Vascular progenitor
KIT	KIT	positive	Vascular stem
MKI67	MKI67	positive	Vascular stem
PTPRC	PTPRC	positive	White blood
