taxonomy	S001_1_107	S002_2_108	S003_3_109	S004_4_110	S005_5_111	S006_6_113	S007_7_114	S008_8_115	S009_9_116	S010_10_117	S011_11_118	S012_12_120	S013_13_121	S014_14_122	S015_15_123	S016_NC1	S017_16_107	S018_17_108	S019_18_109	S020_19_110	S021_20_111	S022_21_113	S023_22_114	S024_23_115	S025_24_116	S026_25_117	S027_26_118	S028_27_119	S029_28_120	S030_29_121	S031_30_122	S032_31_123	S033_32_107	S034_33_108	S035_34_109	S036_35_110	S037_36_111	S038_37_113	S039_38_114	S040_39_116	S041_40_117	S042_41_118	S043_42_119	S044_43_120	S045_44_121	S046_45_122	S047_46_123	S048_NC2	S049_47_107	S050_48_108	S051_49_109	S052_50_110	S053_51_111	S054_52_114	S055_53_116	S056_54_117	S057_55_118	S058_56_119	S059_57_120	S060_58_121
Bacteria;Firmicutes;Clostridia;Eubacteriales;Eubacteriaceae;Other	379	735	565	913	460	631	679	613	1355	1051	578	475	506	557	1425	0	219	987	522	459	311	236	408	455	434	658	469	180	480	755	241	1665	551	989	264	458	373	481	800	740	1743	335	497	415	604	11	613	4	275	405	198	404	174	1768	341	696	493	380	48	192
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Coprococcus	0	39	109	95	47	27	12	11	27	0	0	0	38	25	56	0	0	181	58	292	224	52	421	27	33	0	39	32	6	40	18	66	14	493	296	176	262	53	596	60	0	10	16	47	107	24	61	0	0	385	326	141	104	151	36	0	48	56	22	29
Bacteria;Firmicutes;Clostridia;Oscillospirales;Hungateiclostridiaceae;Ruminiclostridium	88	93	47	68	50	70	84	70	26	125	75	71	131	128	140	0	34	32	65	31	8	17	7	65	24	73	75	28	72	68	100	145	100	19	31	81	29	31	15	60	77	37	46	87	56	96	79	0	0	61	22	29	0	0	44	43	34	41	27	35
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriales Incertae Sedis;Other	41	57	35	43	44	71	52	64	118	84	63	47	46	30	113	0	23	59	40	46	92	31	41	35	86	47	15	12	35	54	20	163	56	40	33	19	17	8	60	44	82	22	12	9	47	6	156	0	20	10	17	0	15	83	22	12	9	6	5	16
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium	34	84	52	15	33	29	27	70	20	40	62	0	47	61	0	0	28	134	21	72	173	46	229	27	45	25	43	26	0	57	43	27	91	338	39	85	170	48	166	55	39	32	23	11	58	107	34	0	19	152	27	35	57	60	22	23	24	38	7	24
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;UCG-001	0	0	0	0	34	77	79	0	129	18	0	0	21	54	0	0	0	0	0	19	152	515	207	0	148	62	0	18	0	24	52	0	0	0	0	0	86	228	151	103	49	0	30	0	0	65	0	0	0	0	0	0	191	264	77	73	0	31	0	23
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Other	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	438	0	0	1467	13	248	0	72
Bacteria;Firmicutes;Bacilli;Izemoplasmatales;Other;Other	3	147	22	174	0	115	0	19	26	657	64	55	31	0	70	0	0	0	52	30	0	26	0	57	22	356	16	4	26	9	31	499	9	0	16	347	6	5	0	4	50	6	14	31	12	4	50	0	0	0	16	74	0	0	7	8	0	6	8	5
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;possible genus Sk018	0	20	0	0	0	0	0	36	0	96	187	0	0	29	67	0	28	0	56	26	29	23	0	105	0	59	245	46	0	72	35	283	0	0	0	0	0	18	0	0	0	170	0	0	0	49	458	0	0	0	0	0	0	0	0	0	55	0	0	0
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Asaccharobacter	0	19	69	20	27	14	54	51	71	0	12	23	18	0	20	0	0	22	28	32	0	42	252	44	100	0	17	32	18	0	0	47	0	45	77	43	55	0	165	118	0	0	58	0	39	0	0	0	14	20	51	22	31	374	44	0	0	13	0	22
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Aerosphaera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	103	0	0	112	770	40	0	69	101	0	421	344
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Fusicatenibacter	110	57	54	24	20	62	82	91	0	93	90	75	51	48	46	0	127	31	27	0	0	94	37	66	25	47	59	27	22	57	40	41	344	0	72	33	0	315	38	40	133	157	53	63	79	176	67	0	91	31	67	35	0	0	36	85	168	42	33	61
Bacteria;Firmicutes;Clostridia;Oscillospirales;Butyricicoccaceae;UCG-008	8	7	8	31	0	86	12	33	10	60	34	24	14	0	27	0	0	13	26	118	35	213	41	10	19	27	27	36	24	12	0	35	21	0	0	55	52	59	93	16	55	25	43	40	37	0	13	0	0	30	4	54	0	198	19	9	28	51	19	10
Bacteria;Other;Other;Other;Other;Other	203	277	313	412	226	301	307	296	817	318	242	260	394	321	585	0	117	360	293	235	178	142	221	267	356	206	154	185	260	551	259	668	322	323	161	303	134	173	425	499	620	113	324	224	398	150	329	0	158	149	143	205	115	734	240	271	201	237	47	148
Bacteria;Firmicutes;Clostridia;Clostridia vadinBB60 group;Other;Other	655	1736	320	870	1184	1059	821	1703	105	1548	883	1472	279	1448	754	0	124	147	655	150	142	209	99	1289	584	734	235	163	1376	105	1267	5132	976	69	331	1973	586	488	583	573	673	410	132	742	245	1437	1482	36	49	1442	321	320	0	0	853	499	121	518	468	153
Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Lysinibacillus	0	0	0	20	0	0	1707	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	20	0	0	35	0	56	0	79	0	0	71
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus	0	0	0	0	8	23	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	28	254	0	0	734	1295	0	0	14
Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae;Other	112	82	31	110	35	85	160	87	150	94	63	116	42	75	119	0	106	131	61	93	45	62	52	119	73	93	74	100	140	70	77	183	61	148	22	61	38	53	40	84	17	49	56	96	22	51	83	0	20	25	19	44	13	15	43	21	14	16	14	31
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Other	136	168	45	33	29	66	105	62	184	84	101	71	133	66	159	0	119	186	35	41	111	54	73	96	141	113	78	14	53	197	161	252	319	180	50	54	56	104	155	154	301	96	98	136	176	32	263	4	94	31	15	24	30	350	52	79	70	23	22	47
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-004	0	0	0	23	33	0	0	0	61	0	0	41	41	0	0	0	0	23	0	104	125	22	131	0	30	0	0	14	25	0	0	0	15	58	0	69	175	34	209	53	0	0	17	16	0	0	0	0	0	42	0	16	60	12	20	13	0	0	22	0
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Angelakisella	0	102	16	40	21	27	37	12	23	18	56	57	22	22	39	0	12	48	20	82	24	60	34	17	30	37	41	28	20	52	39	74	10	55	13	32	19	28	28	35	21	30	13	17	27	74	116	0	0	31	19	28	8	20	19	27	8	31	25	43
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Holdemania	13	25	12	10	23	9	18	25	20	24	8	36	27	31	20	0	19	56	17	96	88	46	96	22	17	19	5	26	14	18	9	26	14	38	25	67	20	14	76	9	12	0	14	12	0	4	30	0	7	28	6	42	34	49	8	16	5	0	0	7
Bacteria;Firmicutes;Clostridia;Lachnospirales;Defluviitaleaceae;Defluviitaleaceae UCG-011	43	40	16	27	28	34	36	58	61	65	39	50	30	47	54	0	45	54	25	61	64	113	67	5	38	45	39	55	25	32	32	67	44	85	18	60	67	63	80	40	36	22	39	41	28	32	28	3	26	81	15	73	51	38	47	21	24	23	18	17
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;Oxalobacter	24	12	10	10	14	13	16	22	16	10	19	18	4	7	4	0	54	28	0	41	25	61	10	0	26	24	26	17	14	8	15	12	55	37	25	50	11	39	23	39	15	23	12	112	7	25	20	0	10	43	25	20	0	0	21	9	11	23	44	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;A2	15	13	14	7	20	18	25	25	20	18	0	9	46	39	22	0	37	43	17	26	31	23	0	0	33	16	23	41	15	35	17	29	42	24	49	37	31	15	30	42	27	15	32	17	25	8	34	3	24	18	11	16	0	18	26	0	6	27	10	18
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Oceanobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	57	119	87	599	0	0	0	387	201
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Paludicola	12	33	0	44	24	0	17	0	0	7	0	0	23	15	0	0	16	85	0	91	46	71	74	0	0	10	0	0	5	0	7	11	33	129	7	64	36	32	130	0	23	0	0	13	15	28	15	0	4	59	0	20	24	24	0	13	0	0	7	6
Bacteria;Firmicutes;Clostridia;Oscillospirales;Butyricicoccaceae;UCG-009	19	27	9	14	15	10	26	8	17	18	16	23	16	17	11	0	21	37	14	28	28	36	29	6	24	13	21	17	17	29	23	13	26	30	22	15	13	24	18	38	20	20	24	47	25	8	17	0	11	10	15	15	0	17	22	14	6	25	14	8
Bacteria;Firmicutes;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus	100	0	0	12	0	46	305	0	11	6	0	0	71	0	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	31	0	103	0	36	34	0	6	24	117
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;Anaerovorax	26	89	20	18	30	24	20	28	43	27	24	27	0	20	26	0	53	51	23	36	62	61	28	18	35	35	33	35	25	43	23	36	38	54	22	41	50	45	25	18	30	45	28	28	26	36	67	0	32	35	21	38	14	20	28	23	22	23	9	15
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Frisingicoccus	12	34	16	12	15	0	22	13	11	0	31	17	18	48	28	0	27	85	22	58	115	70	66	37	30	24	34	28	20	51	77	29	34	66	26	24	54	26	34	17	20	28	0	20	22	45	44	33	12	15	17	31	43	50	0	24	13	0	0	18
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-010	25	46	33	5	14	7	4	28	34	21	0	16	9	10	0	0	54	35	42	104	116	55	107	27	53	33	23	40	25	24	6	24	40	28	56	46	41	51	143	32	39	45	22	26	17	31	16	0	0	23	9	32	25	59	23	31	0	29	16	4
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] ventriosum group	12	0	16	4	0	0	8	6	17	21	17	17	19	0	0	0	101	32	7	27	31	17	66	9	36	46	42	38	23	51	0	0	83	132	50	28	47	24	65	25	22	57	29	102	27	27	0	0	80	99	57	28	69	110	31	35	53	78	50	41
Bacteria;Firmicutes;Clostridia;Oscillospirales;Other;Other	46	43	25	18	28	44	47	18	68	43	55	40	69	49	23	0	32	37	17	45	44	48	73	16	68	54	62	40	39	35	58	39	62	92	22	58	51	45	72	94	51	50	73	73	39	62	14	0	24	115	20	50	0	0	88	59	3	79	34	18
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae ND3007 group	0	17	0	13	17	52	41	97	0	14	0	20	14	63	28	0	18	9	8	10	9	10	16	18	24	33	8	16	12	9	0	58	0	0	14	32	9	24	16	11	0	0	0	15	0	16	30	0	0	12	10	11	0	0	13	12	0	14	9	0
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Candidatus Soleaferrea	6	26	15	31	16	14	9	52	3	9	19	8	24	51	23	0	28	75	5	24	57	36	57	34	18	24	13	22	0	18	65	14	14	47	18	30	21	20	55	21	18	16	11	9	18	75	14	0	8	32	26	21	22	20	8	35	20	20	8	11
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Parvibacter	7	22	7	22	11	20	18	15	36	12	33	8	16	10	43	0	9	38	8	29	19	33	23	12	30	19	14	8	18	9	19	39	61	25	30	11	16	19	28	39	24	19	21	28	27	14	41	0	19	14	9	10	8	81	18	9	9	11	8	11
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-008	11	0	42	45	61	0	13	0	0	27	50	34	12	7	46	0	30	0	74	34	39	8	18	14	0	0	32	0	20	47	0	77	34	0	23	19	42	8	17	0	0	27	0	0	18	0	53	0	28	0	0	35	18	12	0	0	8	0	0	19
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Harryflintia	0	38	22	0	20	0	17	10	16	13	25	23	0	17	0	0	32	45	0	12	29	12	62	22	19	15	16	9	15	12	19	35	16	79	22	21	12	0	51	6	0	13	0	0	0	28	25	0	0	17	0	0	8	24	0	0	0	12	0	0
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;[Eubacterium] brachy group	6	17	16	16	21	0	8	26	26	17	19	9	13	13	16	0	11	27	12	51	40	13	24	36	13	18	5	7	13	19	21	40	24	15	26	25	17	13	23	26	29	8	15	8	21	8	38	0	7	10	14	12	11	59	14	15	5	12	0	14
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	4	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	113	0	293	8	0	625	28	90	0	11
Bacteria;Firmicutes;Other;Other;Other;Other	57	83	50	85	31	77	19	122	34	89	42	187	86	41	122	0	41	35	59	36	7	36	17	104	43	96	37	55	19	57	16	122	25	53	5	27	12	64	15	102	119	60	39	13	51	60	86	4	10	27	34	31	0	53	73	50	26	38	4	4
Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Caryophanon	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	305	0	0	377
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Ruminococcus] torques group	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	150	0	11	50	13	61	0	5	0	0	0	0	0	0	0	0	115	16	6	19	5	57	0	0	0	0	0	0	9	0	0	0	31	12	0	26	83	4	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;Family XIII AD3011 group	18	59	39	17	53	0	32	51	77	59	21	43	38	48	56	0	42	122	44	54	134	102	34	77	57	53	40	58	43	63	50	107	29	50	46	29	50	34	49	54	50	34	14	25	31	12	81	7	29	16	0	26	11	66	20	17	13	41	0	0
Bacteria;Firmicutes;Clostridia;Oscillospirales;Butyricicoccaceae;Other	8	0	8	0	0	0	4	9	0	5	14	0	3	0	0	0	7	142	9	46	8	0	22	0	0	14	18	0	0	0	5	0	13	167	21	18	13	0	22	0	11	0	7	7	10	4	0	0	0	15	0	0	0	6	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;Family XIII UCG-001	16	47	7	11	35	15	15	30	13	0	33	9	26	18	23	0	27	37	24	25	14	20	17	28	20	30	0	16	23	29	37	73	17	29	14	20	0	19	51	17	20	20	0	17	0	44	63	0	0	9	8	0	0	0	15	14	0	15	0	13
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-001	0	0	0	0	0	0	0	0	0	0	9	0	16	0	0	0	0	60	0	32	6	10	3	0	4	0	16	0	0	0	0	0	0	140	0	39	6	0	24	6	7	13	0	0	12	11	0	0	0	207	0	38	0	25	9	0	0	0	0	11
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Ruminococcus] gnavus group	0	0	26	0	0	0	0	0	66	0	0	0	0	0	0	0	0	67	0	0	0	0	28	0	78	0	0	0	0	0	0	32	0	85	28	0	0	0	40	55	0	0	0	0	0	0	0	0	0	21	25	0	0	60	0	0	0	0	0	0
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Enterorhabdus	28	14	36	19	0	21	0	15	54	8	9	16	21	15	65	0	16	55	47	30	4	55	30	16	54	0	0	0	21	0	5	88	82	44	42	30	33	37	45	55	71	7	20	12	33	0	79	0	24	9	17	31	0	98	15	0	0	16	0	0
Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Bilophila	0	21	0	8	9	3	5	7	5	0	0	0	3	0	15	0	7	45	6	44	19	20	2	0	0	0	0	7	0	6	5	25	8	32	2	43	24	0	17	0	8	0	0	3	4	10	21	0	0	85	0	16	0	0	0	4	0	0	0	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	37	0	9	0	0	0	0	0	0	0	0	0	0	248	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria;Other	0	0	0	0	10	0	23	0	11	0	0	0	0	0	0	0	71	0	5	153	17	44	21	0	0	17	34	26	7	62	0	0	0	30	5	0	12	17	0	13	0	5	0	28	0	0	0	0	0	0	61	0	5	0	0	10	45	11	5	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] hallii group	0	0	22	0	0	41	0	9	51	0	0	20	0	25	9	0	0	8	13	4	10	40	6	8	41	4	2	3	21	23	32	20	0	0	23	0	16	36	4	37	0	2	0	8	5	6	0	0	0	0	0	0	0	10	15	0	0	0	5	7
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;UBA1819	0	6	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	40	0	28	42	11	43	0	14	8	0	7	5	0	22	0	0	45	0	13	12	6	48	6	0	0	4	0	0	15	0	0	0	0	0	0	21	45	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-007	18	20	0	19	21	0	20	0	15	15	24	28	0	0	44	0	15	25	0	38	21	13	29	11	0	0	13	23	17	22	23	42	27	17	16	0	7	15	22	0	0	32	19	10	23	14	64	0	12	0	0	12	0	0	0	0	0	10	0	17
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae;Other	5	21	9	18	19	0	8	16	8	14	0	42	15	13	9	0	0	46	11	27	20	0	43	0	0	10	0	7	16	2	42	9	0	84	7	25	7	0	76	3	8	8	9	4	10	0	0	0	0	33	7	7	11	107	8	20	9	10	0	4
Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Paenisporosarcina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	74	0	39	0	156	0	103	155
Bacteria;Firmicutes;Incertae Sedis;DTU014;Other;Other	15	17	0	8	12	22	13	0	12	9	11	16	0	14	0	0	3	4	0	6	10	8	3	0	8	5	8	0	0	0	0	19	26	0	11	17	10	0	7	10	9	8	13	11	12	10	11	0	0	0	0	0	0	0	7	10	0	0	5	0
Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Sphingobacterium	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	132	0	194	2	0
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	40	0	0	187	119	0	0	0
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae;UCG-004	3	0	0	11	8	0	0	9	0	21	0	4	0	30	0	0	0	0	0	0	0	5	0	0	11	24	0	0	0	0	0	12	0	0	6	34	22	34	21	18	34	0	0	10	0	0	15	0	0	69	23	0	0	0	19	51	22	32	0	0
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;DNF00809	0	8	0	0	0	0	0	4	22	32	0	0	0	21	18	0	0	10	0	0	13	0	3	0	10	18	0	3	0	0	0	8	0	24	0	0	21	2	0	16	26	0	0	0	0	0	0	0	0	14	0	0	0	23	0	16	0	0	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Carnobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	19	211	0	0	0	0	0	27	0
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	10	45	0	159	0	0	0	97	104
Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	235	0	79	0	26	0	58	115
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Oscillibacter	4	0	0	0	0	5	4	5	0	8	8	4	0	0	4	0	9	34	4	33	21	0	40	2	15	0	0	10	6	0	5	10	22	34	6	46	65	19	77	13	18	18	11	9	2	16	0	0	8	40	6	20	14	13	14	13	0	8	0	8
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	60	0	0	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;GCA-900066575	0	17	0	36	0	0	0	42	0	0	0	0	0	24	0	0	22	0	0	4	0	0	22	0	11	0	24	0	11	22	0	34	29	0	0	23	0	29	31	10	21	23	0	0	21	0	13	0	0	0	0	22	0	8	0	17	12	16	0	0
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Dubosiella	0	0	12	2	0	0	3	2	6	0	0	0	0	0	6	0	0	11	23	0	7	0	6	0	0	0	0	0	0	0	0	0	0	8	17	0	9	0	23	5	0	0	0	2	0	0	0	0	0	7	8	7	10	24	4	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Cuneatibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	8	31	0	46	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	18	0	0	0	8	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	143	0	18	0	0	0	53	34
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	40	21	0	13	0	0	0	0	0	0	13	0	0	0	25	8	23	0	0	56	0	0	0	0	0	0	0	0	0	0	20	0	0	0	42	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Sporosarcina	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	193	0	11	0	85	93
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Alcaligenaceae;Pelistega	0	0	0	0	9	10	0	0	34	0	2	15	0	0	0	0	2	0	0	8	4	28	0	0	6	0	0	0	6	0	0	0	5	0	0	6	0	6	0	23	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Trichococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	49	91	0	0	0
Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Other	7	0	0	0	0	5	8	6	5	7	0	11	0	0	13	0	4	0	0	0	0	6	0	0	12	0	0	0	5	0	0	30	0	0	0	0	0	4	12	4	0	2	0	0	3	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Limnohabitans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	4	0	0	34	0	6	0	0
Bacteria;Firmicutes;Clostridia;Eubacteriales;Anaerofustaceae;Anaerofustis	0	8	0	0	3	0	0	4	0	0	0	0	0	0	0	0	0	20	0	0	15	6	0	0	7	0	0	0	0	4	4	0	0	18	0	4	8	0	0	0	7	0	4	0	2	0	5	0	0	15	0	7	0	9	0	8	0	0	0	0
Bacteria;Verrucomicrobiota;Verrucomicrobiae;Opitutales;Puniceicoccaceae;Other	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	4	0	0	0	12	0	0	0	21	0	0	0	68	0	0	28	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Other;Other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	152	0	0	0	0	0	0	0
