Gene	A.1	A.2	A.3	B.1	B.2	B.3	C.1	C.2	C.3	D.1	D.2	D.3	E.1	E.2	E.3
Dgka	15885	7153	7116	24505	7581	6554	8662	10348	7780	15845	5274	5768	8044	4725	6288
Dgkb	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Dgkd	11921	8164	7487	14172	6950	6406	14858	18312	13421	14196	7627	7736	11195	8799	11218
Dgke	6509	4510	2643	8739	5868	4154	10705	14829	10561	8007	7402	6249	5083	5253	7061
Dgkg	299	268	293	376	135	387	1809	2184	1438	897	705	726	718	1140	1159
Dgkh	13	19	36	145	101	36	82	111	86	9	37	40	20	53	63
Dgki	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0
Dgkk	0	0	0	0	2	0	1	1	0	0	0	0	0	1	0
Dgkq	871	605	501	1047	506	526	955	1182	892	1127	513	566	718	550	779
Dgkz	7823	3598	3528	11759	3603	3910	9055	12371	9217	23473	4702	5760	9747	5676	6877
Dguok	362	159	138	595	259	239	325	433	315	716	163	262	308	217	273
Dhcr24	2846	1352	1107	2597	1161	1029	1737	2106	1767	5290	751	1144	1655	1202	1171
Dhcr7	1446	508	365	1982	494	326	811	697	652	2200	215	334	1193	405	439
Dhdds	838	292	286	1667	575	417	859	1006	855	1955	428	536	624	551	514
Dhdh	4	1	0	40	9	4	3	10	4	11	7	13	8	4	2
Dhfr	392	52	259	1432	635	516	1175	1541	1137	1275	447	934	483	467	513
Dhh	1	0	0	2	1	1	1	3	4	1	1	0	1	2	1
Dhodh	271	134	110	601	202	162	281	384	252	511	133	198	175	151	200
Dhps	408	220	222	708	282	307	384	602	414	869	204	322	298	223	329
Dhrs1	531	204	201	1148	460	415	525	689	526	1449	224	431	406	219	278
Dhrs11	18	13	10	163	32	23	38	49	46	73	21	24	32	22	21
Dhrs13	407	315	187	704	424	339	183	278	185	657	154	192	107	110	162
Dhrs2	0	0	0	0	0	1	1	1	0	5	1	2	1	0	0
Dhrs3	1196	719	776	821	124	472	4296	6528	4677	3069	985	1371	2744	2450	3156
Dhrs4	396	138	159	727	230	251	409	556	388	947	160	305	345	223	238
