	UMIs	Genes	Genotype	Batch	PercentMT	HasTCR	Cluster	UMAP_1	UMAP_2	Foxp3	Ccr2	Cxcr6	Tcf7	Ccr7	Cxcr5	Mki67	Ccnb2
cell36	22273	4386	WT	A	1.39181969200377	TRUE	0	-0.0108216293270536	-6.73284153324066	0	1.92229977993462	2.15554105455137	0	0	0	1.61755822284121	1.85437256453761
cell37	27059	4438	KO	A	1.09760153738128	TRUE	0	3.00323171539951	-5.32852892261444	0	0	0	0.746066153075146	0	0	1.75860186378816	0.907553161763021
cell38	17077	3527	KO	A	0.755402002693682	TRUE	0	1.78135080261875	-5.29461006503997	0	0.460952130136514	1.36810868433067	0	1.83581567291827	0	1.50707239328167	1.01405203013128
cell39	7279	2290	KO	A	2.28053304025278	TRUE	0	1.18123454971958	-5.61550144535003	0	1.63343667528716	0.864498401194864	0	0	0	0.864498401194864	1.87107273214583
cell40	29476	5011	KO	A	1.07205862396526	TRUE	0	2.76765603943515	-4.99375395160614	0	0.701996496930224	1.11039405999111	0	0	0	1.80646512134893	1.47991916287412
cell41	8015	2765	WT	A	0.773549594510293	TRUE	0	1.0154616348331	-5.07223610263763	0	0	0.80988995813854	1.55666603261888	0	0	2.68949694896933	1.55666603261888
cell42	32611	4912	KO	A	0.775811842629788	TRUE	0	3.31177158280063	-6.11662201267181	0	0.652291326748042	0.800466770733902	0	0	0	1.72270855253921	1.23928974710442
cell43	26443	4717	KO	A	1.1080437166736	TRUE	0	2.43344564362217	-5.9616442142099	0	0.56323428123175	0.56323428123175	0	0.320757923121441	0	2.14750178462867	1.39261815761051
cell44	17976	3865	KO	A	0.700934579439252	TRUE	0	1.56697006149936	-4.74046282154022	0	0	0	0.747916846365989	0.747916846365989	0	1.46736355215188	0.442309464878047
cell45	14299	3273	WT	A	1.00006993496049	TRUE	0	0.396044205862766	-5.78837780338226	0.530245592485641	0.874926594477232	1.33431620581334	0	0	0	1.13077249868217	1.33431620581334
cell46	9820	2608	KO	A	5.94704684317719	TRUE	0	1.64162368698764	-6.2062035022348	0	0	1.11075818697022	0	0	0	1.62399538746766	1.11075818697022
cell47	16561	3612	WT	A	1.02046977839502	TRUE	0	-0.1362922676022	-6.36777691226898	0	1.76312439938347	1.65379883410431	0	0	0	1.95136420751527	1.95136420751527
cell48	22594	4339	KO	A	0.557670177923343	TRUE	0	2.22091121597934	-6.54174713474212	0	0.634029013980567	0	0	0	0	1.51309506718977	1.01898504256236
cell49	19641	4228	KO	A	1.48668601395041	TRUE	0	0.654346656042819	-7.25810818057952	0	1.80687637400831	0.702244718059917	0	0	0	2.414375177178	1.88714987378515
