	UMIs	Genes	Genotype	Batch	PercentMT	HasTCR	Cluster	UMAP_1	UMAP_2	Foxp3	Ccr2	Cxcr6	Tcf7	Ccr7	Cxcr5	Mki67	Ccnb2
cell862	22192	4353	KO	B	0.964311463590483	TRUE	0	0.576601218420749	-7.23510174137054	0	1.17959737286306	0.642498766038455	1.52712153324676	0	0	1.42414149532964	1.78452354764188
cell863	24312	4624	KO	B	0.954261270154656	FALSE	0	1.83517475052524	-6.14453129154144	0	0	1.24355414801714	1.78100756679089	1.84800647130745	0.344525091600087	1.54796149655218	0.803775141384854
cell864	18911	3858	KO	B	1.06816138755222	TRUE	0	2.73056383057285	-5.2407436786264	0	0	0	1.54789210605342	0.950258556713741	0	1.54789210605342	0.721533223655183
cell865	28298	4599	KO	B	0.770372464485123	TRUE	0	3.72497672959018	-5.31504349094329	0	0.302606544728215	0.302606544728215	0.302606544728215	0	0	1.89523468348403	1.65643263210252
cell866	17438	3852	KO	B	1.22720495469664	TRUE	0	0.358653020102268	-6.21340851169525	0	1.90725880174282	1.19205437218665	0.45327718089835	0	0	2.2003799969656	2.2003799969656
cell867	19769	4314	KO	B	1.28483990085487	TRUE	0	2.46646137161899	-5.26141599994598	0	1.106372077681	1.39501990358954	0	0	0	2.20755763916565	1.106372077681
cell868	17886	4115	KO	B	0.765962205076596	TRUE	0	2.37448997421909	-5.1286077914804	0	0.44410648684884	0.44410648684884	0	0	0	1.88569977186973	0.750563366782098
cell869	18409	3862	KO	B	1.03753598783204	TRUE	0	0.813091229635959	-6.70196155887542	0	0	1.15463031208513	0	0	0	2.08713230033018	2.15234062048363
cell870	20603	4315	KO	B	1.13575692860263	TRUE	0	0.790934514242893	-4.29728559833465	0	0	0.39566134710817	1.76706746334526	0.39566134710817	0	0.898574166813151	1.23163594025392
cell871	13461	3131	KO	B	1.08461481316396	TRUE	0	0.780552815634494	-5.55578331333099	0	0.910583965881692	0.555542852400873	1.17206736856567	0	0	1.82458284121735	0.910583965881692
cell872	17447	3672	KO	B	0.991574482719092	TRUE	0	1.66920394821811	-6.3330173907846	0	0	0.763758885847663	0	0	0	1.35217439017619	1.61186518146108
cell873	12347	3083	KO	B	1.5307362112254	TRUE	0	0.0725700370853	-5.74600509983001	0	1.61930243690571	1.23248446175065	0	0	0	2.37201414266022	0.593278965276642
cell874	17618	3903	KO	B	0.737881711885572	TRUE	0	0.976317118841892	-7.04364590030609	0.449546627375556	1.48287825236618	0.994289734329107	0	0	0	2.12570674926283	2.19125327741231
cell875	22553	4023	KO	B	1.0198199796036	TRUE	0	1.61446781082798	-6.45053963046966	0	1.41191335861104	1.51451164331896	0	0	0	1.60755612702362	1.02014610259952
cell876	12241	3336	KO	B	1.4132832284944	TRUE	0	1.89336223526645	-4.85241131168304	0	1.23860034026682	2.89897140554256	0	0	0	2.30120353291965	0.96844796143375
cell877	21545	4314	WT	B	0.886516593177071	TRUE	0	0.847614001471286	-4.77157406192718	0.872311441480547	0.381271326754971	0	0	0	0	1.95073883948	1.2001828512909
cell878	19463	4110	KO	B	0.868314237270719	TRUE	0	1.33404607697177	-3.52611402851043	0	0	0	1.11683904312353	1.11683904312353	0	2.0385336433004	1.81449147273693
cell879	18030	3813	KO	B	1.09262340543539	TRUE	0	1.30943651123691	-6.72701553684173	0	0.746338284724942	1.46505633091344	0	0	0	1.69323651705841	1.58564062825759
cell880	37434	5438	KO	B	1.43719613185874	TRUE	0	2.5814229957645	-6.70936397891937	0	0	0.428057080102758	0.236759888785998	0	0	2.52467877993511	1.96629342456479
cell881	12793	3143	KO	B	1.10998202141796	TRUE	0	0.189962815481906	-7.23812012058197	0	1.59094545595842	0	0	0	0	2.60319619995528	2.26160186449607
cell882	13733	3625	WT	B	1.05585087016675	TRUE	0	1.09725351257968	-5.12420038562713	0	0.547064789159224	0.547064789159224	0.547064789159224	0	0	2.74492587694213	0.898674891165364
cell883	22335	4261	KO	B	0.56861428251623	TRUE	0	2.55682439728427	-5.35709957462249	0	0.639459212290159	1.41926831309375	0	0.369995280094474	0	1.70060822846777	1.41926831309375
cell884	17381	3784	KO	B	1.10465450779587	TRUE	0	1.54105634613681	-5.94049267154632	0	1.3549854234861	1.00284364887845	0	0	0	2.6951798217824	1.19433558249516
cell885	15566	3589	KO	B	1.29127585763844	TRUE	0	2.91429586334873	-5.63417295795379	0	0.826301076784272	1.57991739803724	0.496174295208634	0	0	2.08774246821393	1.43796822036984
cell886	21321	4221	KO	B	0.703531729280991	TRUE	0	1.17215509339023	-7.24321369510589	0	0.384596296580236	1.73874742293757	0	0	0	1.33871178326955	1.73874742293757
cell887	18506	3858	KO	B	0.98886847508916	TRUE	0	2.03163642807651	-6.49059776645599	0	0	0.732719069480305	0	0	0	1.56497534249913	1.76871046716388
cell888	24626	4550	KO	B	0.95021521968651	TRUE	0	2.01781148834873	-6.15511040073333	0	1.10868617658731	1.53787185926822	0	0	0	2.37451471300966	1.69869776811914
cell889	27371	4819	KO	B	0.719739870666033	TRUE	0	2.92196960373569	-6.09516338687835	0	0	0.74005489043596	0	0.311410943833242	0	2.20140517527046	1.26904436630283
cell890	20104	3911	KO	B	1.23358535614803	TRUE	0	1.58066053314853	-6.38476375919281	0	0	0.403739253049845	0	0	0	2.07490480383403	1.60529084532146
cell891	19434	3984	KO	B	1.24524030050427	TRUE	0	0.752735566336399	-7.14512161594329	0	0	1.72829751839267	0	0	0	1.72829751839267	2.10460593406821
cell892	21921	4319	KO	B	0.999042014506638	TRUE	0	0.17604846878696	-6.32053188663421	0	0	0.375819018934498	1.31831028677075	0	0	2.11612744543165	2.31487638120751
cell893	18177	3813	KO	B	1.15530615613137	TRUE	0	1.55489559097934	-6.26536850315033	0	0.742076181409203	1.32195020593735	0	0	0	1.95325506258393	1.16333302899524
cell894	18161	3850	KO	B	0.908540278619019	TRUE	0	1.2060772888248	-5.17904190402923	0	0	1.32259611603858	0.438661604286603	0	0	1.68733255006347	0.975273127168234
cell895	16516	3637	KO	B	0.823443933155728	TRUE	0	0.589157294470554	-6.77762607913909	0	1.39311291220182	2.42418741826492	0	0	0	1.65599975990721	1.53317026126656
cell896	11641	3019	KO	B	0.773129456232282	TRUE	0	1.05655403061557	-5.8408356128305	0	0.999920398696483	0.620056314365382	0	0	0	0.999920398696483	1.81713418651129
cell897	15131	3520	KO	B	1.59275659242615	TRUE	0	-0.0485690124447293	-5.48780493122039	0	0	0	1.60248763708527	0.842338312101995	1.0928237523336	1.60248763708527	0.842338312101995
cell898	27325	4626	KO	B	0.918572735590119	TRUE	0	3.35538453980136	-4.7858024058908	0	0	0.549236663032784	0	0.311861309362652	0	2.28066311258012	1.04021528450853
cell899	15858	3581	KO	B	1.01526043637281	TRUE	0	2.20859355850864	-5.79628090244232	0.815892589323028	0.488945925982154	0	0	0	0	2.07148018245015	0.488945925982154
cell900	17979	3613	KO	B	0.978919850937205	TRUE	0	1.73825330658603	-4.57625440936981	0	0	0.442249818640342	0.442249818640342	0.747828965246168	0	1.46723514952709	1.46723514952709
cell901	21132	4137	KO	B	0.847056596630702	TRUE	0	2.00723810120273	-5.74378828388153	0	1.21374882657934	0.883622045003706	0	0	0	1.96736514783231	0.665997928064875
cell902	18735	4071	KO	B	0.880704563650921	TRUE	0	1.52947730942417	-5.93799118381439	0	0.427722459714054	1.29986509867773	0	0	0	1.66204606126362	1.66204606126362
cell903	17955	4042	KO	B	1.47591200222779	TRUE	0	0.524912547308689	-6.14693836551605	0	0	0.442727446800562	0	1.33097709372926	0	3.19424753769429	2.10903954579821
cell904	13322	3231	KO	B	0.938297552919982	FALSE	0	0.264813613135105	-5.96927170139251	0	0.916801035515889	2.62182736547478	0	0	0	2.44312348104886	2.04843352138573
cell905	19160	3723	KO	B	0.98643006263048	TRUE	0	1.39112920685459	-7.19433025699554	0	0.419973134597743	0.942255512155119	0	0	0	2.05219478276791	2.05219478276791
cell906	10317	2911	KO	B	1.3666763594068	TRUE	0	1.02534885330844	-6.51908592563568	0	0	1.07791559116956	0	0	0	2.67895337736366	1.91922057023259
cell907	15510	3686	KO	B	1.05093488072211	TRUE	0	3.25461740418125	-4.68763403278289	0	0.828329369766549	0.497585554965273	0	1.0764471048401	0	1.70714835097942	0
cell908	19622	3875	KO	B	1.19253898685149	TRUE	0	0.716152381140476	-6.9044228015512	0	1.11137324773608	1.11137324773608	0.411865942763582	0	0	1.96228738529379	1.80768538534755
cell909	14169	3315	KO	B	1.13628343566942	TRUE	0	0.167096089560276	-6.37322620731292	0	1.34105230951489	1.13696670596929	0	0	0	1.65528979353538	1.34105230951489
cell910	17192	3719	KO	B	0.756165658445789	TRUE	0	0.71208853645969	-6.19045452457367	0	0	0.771649525048074	0	0	0.458478653053606	1.00978022736056	2.0012535965062
cell911	20586	4005	KO	B	0.665500825803944	TRUE	0	1.83017845078159	-6.75256542545257	0	1.23222059144744	1.23222059144744	0	0	0	1.36471370405063	1.07945261017864
cell912	11826	3572	KO	B	1.35295112464062	TRUE	0	1.83348293228794	-4.48891500812469	0	1.93429454411772	2.55243463089385	0	0	0	2.41118237380365	1.47759145644375
cell913	15763	3894	KO	B	1.02772314914674	TRUE	0	2.17216319962192	-5.14642528873382	0	0.491273932438181	1.69392225640954	0	0	0	2.82493951253736	1.2634451453692
cell914	15626	3459	KO	B	0.678356585178549	TRUE	0	2.32994575424839	-6.01643185001312	0	0.824139514795741	1.26971452427835	0	0	0	1.43503576531637	1.81150855603381
cell915	7273	2482	KO	B	1.69118658050323	TRUE	0	2.18377418442417	-5.78237013202606	0	0	1.63410034277398	0	0	0	1.32172834063543	0
cell916	20916	4077	KO	B	1.04226429527634	TRUE	0	0.161575030524021	-5.17399124484954	0	0	0	1.46942158697003	0	0.39075943291874	1.83404147983087	2.21131912440859
cell917	12093	3175	KO	B	1.69519556768378	TRUE	0	1.19186420365024	-6.34843448978363	0	1.46040380992371	2.13325738978206	0	0	0	1.46040380992371	1.91522597814448
cell918	9406	2664	KO	B	1.03125664469488	TRUE	0	2.19696445389438	-5.7756672320932	0	1.84304744784558	1.43257030545092	0	0	0	0.724234513080252	0.724234513080252
cell919	15887	3844	WT	B	1.38478000881224	TRUE	0	0.660367202002292	-5.31812624317108	1.56374422699658	1.4224399887218	0	0	0	0	2.34580566893006	1.25783063023779
cell920	19629	3908	KO	B	0.932294054714963	TRUE	0	2.76486558838535	-5.12147192340789	0	0.411745546882102	0	0	0	0	1.80738722248492	1.26617308266988
cell921	11251	3255	KO	B	1.16434094747134	TRUE	0	1.43208141251255	-5.08566288333831	0	0.635946939497789	0.635946939497789	0.635946939497789	0.635946939497789	0	2.53008143605857	1.02159436208149
cell922	11355	3077	KO	B	2.48348745046235	TRUE	0	0.45916147156406	-6.70404247623382	0	0.631627728735908	0	1.01571556843746	0	0	2.82447216610084	1.68701849187099
cell923	16418	3591	KO	B	1.44353758070411	TRUE	0	3.23644704743076	-5.15431074481903	0	0	0.475667302075597	1.53783997659083	0	0	1.03930902111483	1.39758981015694
cell924	12716	3134	KO	B	1.26612142183076	TRUE	0	1.7414457313602	-6.01455120426117	0	0.945003211824171	0	0	0	0	1.59575555544965	0.58020847896663
cell925	21510	4034	KO	B	0.790330079033008	TRUE	0	4.19695777817417	-4.68620781284271	0	0	1.20131935678067	0	0.381787012489545	0	1.20131935678067	2.01604911697078
cell926	17229	4341	KO	B	1.91537523942191	TRUE	0	0.797440957266574	-6.02345661502777	0	1.20046675236494	1.00841410015033	0	0	0	3.38236856759438	1.20046675236494
cell927	15044	3543	KO	B	1.01701675086413	TRUE	0	1.08511085434604	-6.06075195651947	0	1.94340006939255	1.46408472335539	0	0	0	0.509655037274974	1.84336070166268
cell928	23266	4520	KO	B	1.08742370841571	TRUE	0	1.17199630661655	-7.16891483646331	0	0	1.49031511612132	0	0	0	1.88518190653967	2.46345261238516
cell929	19168	3833	KO	B	0.918196994991653	TRUE	0	3.22136516495395	-6.14438442569671	0	0.419829996003268	0.94200078345509	0	0	0	1.28329610599224	1.41832995483698
cell930	10687	2698	KO	B	0.982502105361654	TRUE	0	2.39926357193637	-6.50362972598968	0	1.05481106260022	0	0	0	0	1.55664141791924	1.05481106260022
cell931	13929	3430	KO	B	0.990738746500108	TRUE	0	1.1868164054935	-5.80185322147308	0	0.890297108212658	0.541118114791284	0.541118114791284	0	0	2.00973497598728	1.52380009484185
cell932	19246	3884	KO	B	1.03398108697911	TRUE	0	3.10211248322177	-5.08938602786956	0	0	0.712546281272922	0	0	0	1.7362989730989	1.12439502025357
cell933	19887	4049	KO	B	1.13642077739227	TRUE	0	1.76798505707431	-6.29441933017669	0	0	0.919694195846523	0	0	0	1.95076870190962	1.39054688422801
cell934	21907	4108	KO	B	0.949468206509335	TRUE	0	3.09057922287632	-5.97876219135223	0	0	1.03882703846546	0	0	0	1.86836569301037	1.53725441221476
cell935	25126	4536	KO	B	0.680569927565072	TRUE	0	3.01814050598789	-5.49096397739349	0	0.585555410490095	1.2202293452487	0.335038430417318	0	0	0.952420688459789	1.33129916202794
cell936	19685	3982	KO	B	0.995681991363983	TRUE	0	2.94407815857578	-6.21156505924163	0	0	0.701116358147138	0	0	0	1.88525150873508	0.701116358147138
cell937	28348	4766	KO	B	1.27345844504021	TRUE	0	3.59589738770176	-5.41891245227752	0	0.533868375049201	0.721868601275957	0.302145894266741	0	0	1.99465327764232	1.72023866170743
cell938	22872	4143	KO	B	0.743266876530255	TRUE	0	1.55537719650913	-7.24106697421966	0	0.628305477172538	1.59634097829085	0	0	0	1.83203566949919	2.13211330142699
cell939	15502	3505	KO	B	1.0966326925558	TRUE	0	2.06606168671299	-4.90555528980194	0	0.497787832602031	0.828619985063292	0	0	0	2.16801735249911	0
cell940	11163	2973	KO	B	0.886858371405536	TRUE	0	1.24004859848667	-5.18514208179412	0	1.30493505657455	1.52241187652097	0	0	0	2.20412833931995	1.02662675561416
cell941	18224	3409	KO	B	1.08099209833187	TRUE	0	0.82784552498508	-6.83517746311126	0	1.3200570023985	1.45683709913146	0	0	0	1.86984172334147	1.45683709913146
cell942	21373	4382	KO	B	1.30538529920928	TRUE	0	0.236952494818454	-5.57331709247528	0	0	0	1.45282158681183	0.383819207206554	0	3.35357880434584	1.33691507946006
cell943	18007	3828	KO	B	0.921863719664575	TRUE	0	1.78735752030063	-5.79543547016082	0	0.980586262421209	0.747009782100658	0	0	0	2.29106230417417	1.16980312173181
cell944	15055	3604	KO	B	1.16240451677184	TRUE	0	0.138648938376194	-6.96287826877533	0	1.0961738037533	0.845208094725234	0	0	0	1.73158794412785	2.11704347859699
cell945	12491	2963	KO	B	0.768553358418061	TRUE	0	1.22029037399936	-6.24829201084076	0	1.22428390381541	0.955954742924721	0	0	0	1.75845403124007	1.88768081149693
cell946	17476	3850	KO	B	1.04715037766079	TRUE	0	2.18106670303989	-5.8698735652536	0	0	1.98709960049669	0	0	0	2.13283693958727	1.61053595893689
cell947	13476	3377	KO	B	1.39507272187593	TRUE	0	2.30229396744419	-4.84537414890228	0	1.54975155615629	1.54975155615629	0	0	0	2.21513647965501	0.909918438626321
cell948	27998	4767	KO	B	1.13936709764983	TRUE	0	2.14699716492343	-6.77403549533783	0	0	1.25281399124642	0.728275448140621	0.305400447709715	0	2.54839432074028	2.00539538521784
cell949	23630	4385	KO	B	0.808294540837918	TRUE	0	3.82237548752475	-4.21226696353851	0	0.613227895936702	1.37683375375198	0.352901434553362	0	0	1.47830977199731	1.5704304647311
cell950	11084	2997	WT	A	1.19090581017683	TRUE	1	-4.88673119620633	5.86553211826386	1.52796870963328	2.79345838500717	0	0	0	0	0	0
cell951	4345	1646	WT	A	1.44994246260069	TRUE	1	-6.29411797599148	4.12391324657502	1.19437569071597	1.19437569071597	0	0	1.19437569071597	0	1.19437569071597	2.52632685429779
cell952	5572	2118	KO	A	1.14860014357502	TRUE	1	-4.76908783988308	6.1961254658133	2.60733178829351	1.52374394698692	0	0	0	0	0	0
cell953	13471	3244	KO	A	0.838838987454532	TRUE	1	-5.19812994078946	4.90139313358368	2.29334499906193	0.555226389822974	0	0	0	0.555226389822974	0.555226389822974	0
cell954	9114	2737	WT	A	1.56901470265526	TRUE	1	-4.98254649714779	5.73842282909455	1.16140746530078	0	0	0	0	0	0	0
cell955	5975	2186	WT	A	1.15481171548117	TRUE	1	-6.60399775580716	5.86589880603852	2.23732106466724	1.46955043916772	0	0	0	0	0	0
cell956	13090	3107	KO	A	1.46676852559206	TRUE	1	-6.19736819342923	5.39151330608429	0.567551043444595	0.567551043444595	0.567551043444595	0	0	0.567551043444595	0.567551043444595	0
cell957	6456	2247	WT	A	0.697026022304833	TRUE	1	-6.74620990828824	6.0920142712027	1.9734956971021	1.73109612299393	0.935680221383008	0	0	0	0	0
cell958	7100	2444	WT	A	2.30985915492958	TRUE	1	-6.08615832404446	4.34887571949067	1.33943894383839	1.8921782169751	0	0	1.33943894383839	0	0	0
cell959	7555	2251	WT	A	1.19126406353408	TRUE	1	-5.77973489837002	6.46876330989899	1.60359692941327	1.2939744116105	0	0	0	0	0	0
cell960	6799	2272	WT	A	0.882482718046772	TRUE	1	-5.69757537917447	6.02220388073029	1.6886951283483	2.65586112110634	0	0	0	0	0	0
cell961	6727	2227	WT	A	1.02571725880779	TRUE	1	-5.28103594855618	6.14898200649323	1.93819287702042	1.37954501136315	0.910894901286403	0	0	0.910894901286403	0	0
cell962	6607	2284	WT	A	0.908127743302558	TRUE	1	-5.47428922728848	6.96808047908844	2.31067998408055	2.57325095066273	0	0	0	0.921694600176867	0	0
cell963	14108	3330	WT	A	1.226254607315	TRUE	1	-5.11865549163174	5.30906291622223	2.25190343310683	1.13989915952263	0	0	0	0	0	0.535801723246992
cell964	6119	2088	WT	A	1.11129269488479	TRUE	1	-6.19796471671414	5.93967648166718	1.45126433435574	0	0	0	0	0	0	0
cell965	9155	2568	WT	A	1.02676133260513	TRUE	1	-5.9241009242947	5.41697593349518	1.86586093957915	0.738263600026138	0.738263600026138	0	1.15832624654765	0	0	0
cell966	9700	2508	WT	A	0.979381443298969	TRUE	1	-5.6991048343594	4.70248766559662	2.42562348177185	1.40922530218381	0	0	0	0	0.708492750234606	0
cell967	7715	2280	KO	A	2.26830848995463	TRUE	1	-6.42206649855923	5.65282483715119	2.01235061925175	2.17214123529221	0	0	0	0	0.831245252502311	0
cell968	8921	2588	WT	A	0.751036879273624	TRUE	1	-5.76239137725186	6.44620462078156	1.88778951568441	2.8150079160651	0	0	0	0	0	0
cell969	10862	2717	WT	A	0.902227950653655	TRUE	1	-6.23826723174405	5.56246109623017	1.32493007620497	1.54384562324167	0	0	0	0	0.652658862641126	0
cell970	2581	1420	KO	A	2.63463773731112	TRUE	1	-7.074536133569	6.77468724865021	2.16893192398403	0	0	0	0	0	0	0
cell971	2913	1208	KO	A	1.81943014074837	TRUE	1	-6.73940639571499	6.38553805965485	0	0	0	0	0	0	0	0
cell972	6932	2361	WT	A	1.61569532602424	TRUE	1	-6.293610144418	5.84012003559174	2.10570920135502	2.40677354293976	0	0	0	1.35716679882967	0.893056950805318	0
cell973	10226	2855	WT	A	0.801877566986114	TRUE	1	-6.2873137481625	4.47348995822968	1.36958005607322	1.36958005607322	0	0	0	0	0	1.08376898449012
cell974	6205	2128	WT	A	0.435132957292506	TRUE	1	-5.42267875747036	6.62992425579132	2.50807165868124	0.95996441793694	0	0	0	0	0	0
cell975	12632	3226	KO	A	1.24287523749208	TRUE	1	-5.44467096404385	4.29782338756623	1.21637186804114	1.21637186804114	0.583131557045925	0	0	0	1.21637186804114	1.60104305265227
cell976	10293	2994	KO	A	1.67103856990188	TRUE	1	-4.66489331797909	5.94824214595856	1.36471370405063	2.05421839150763	1.07945261017864	0	0.678811946450409	0.678811946450409	0.678811946450409	0
cell977	6131	2009	WT	A	1.35377589300277	TRUE	1	-6.81715302542996	5.88307304996552	1.44976448020721	1.77379335382603	0.9673850177151	0	0	0	0	0
cell978	10450	2874	KO	A	0.851674641148325	TRUE	1	-5.65971617774319	5.74366875309052	1.06948401574509	0	1.06948401574509	0	0	0	0	0
cell979	11851	3007	WT	A	0.886001181334909	TRUE	1	-4.76313393191647	4.88509221691193	0.611834434878418	2.40926024494041	0	0	0	0	0.988656526493234	1.2617034393063
cell980	10058	2719	WT	A	1.16325313183535	TRUE	1	-5.83518414573025	4.24846215862336	1.78694242421765	0	0	0.690259738916243	0	0	0	1.78694242421765
cell981	5068	2092	KO	A	0.453827940015785	TRUE	1	-4.80282454566311	6.02044816631379	1.59864586990354	3.03166149713153	1.93434277126745	0	0	1.0896270273709	1.59864586990354	0
cell982	7191	1985	WT	A	1.61312752051175	TRUE	1	-7.00883107261013	6.52530904430451	1.8813729523237	0.871555746938999	0	0	0	0	0	0
cell983	10425	2651	KO	A	0.853717026378897	TRUE	1	-6.03836493567776	6.18866344112458	0.672552873061201	0	0	0	0	0.672552873061201	1.07105787118873	0
cell984	7315	2358	WT	A	1.2987012987013	TRUE	1	-5.66599803046536	6.29431481975617	2.05863533509489	3.06832313023201	0	0	0	0	0	0
cell985	11658	3018	WT	A	0.883513467147024	TRUE	1	-4.77050356940579	5.4661221088797	2.62949035296162	0	0	0	0	0	0	0
cell986	6559	2051	WT	A	0.975758499771307	TRUE	1	-5.46939306334805	6.72441526073517	1.71808924160268	1.95988217321771	0	0	0	0	0	0
cell987	13902	3255	KO	A	0.920730830096389	TRUE	1	-5.26982646064114	4.48303027767243	1.67070717650911	0.891441295018	0	0	0	0	0	1.52531794511993
cell988	2238	1304	KO	A	4.9597855227882	TRUE	1	-7.03275685386013	6.65015454906525	2.29621992739132	2.66756327108501	0	1.69896325515062	0	0	0	0
cell989	9896	2836	WT	A	0.83872271624899	TRUE	1	-5.70765976981472	4.83330793994965	2.08859515385065	1.39414543315363	0	0	0	0	0	0.698388071410917
cell990	9536	2746	KO	A	0.85989932885906	TRUE	1	-6.33087949828457	4.97312851566376	1.42213753892326	0	0	0	0.717184807045355	0	0	0
cell991	9205	2681	WT	A	0.934274850624661	TRUE	1	-4.94437532500576	5.3738324226767	1.44905747499784	0	0	0	0	0	0	0
cell992	14466	3470	WT	A	0.788054749066777	TRUE	1	-4.66269688681912	5.2066006245047	1.49433688460889	1.87643891297346	0	0	0	0	0	0
cell993	10580	2916	WT	A	1.2476370510397	TRUE	1	-5.82022814826321	5.2452444614798	0	1.56459081481167	0	0	1.06138077407076	0	0	0
cell994	6141	2072	WT	A	1.30271942680345	TRUE	1	-7.01319603995633	5.91371341365876	2.21287878803916	1.77244035960556	0	0	0	0	0	0
cell995	8569	2540	WT	A	2.81246353133388	FALSE	1	-5.34971194342923	7.04202790874543	1.20417117419304	1.20417117419304	0	1.50429780531087	0	0	1.73483442761787	1.50429780531087
cell996	9932	2789	WT	A	1.02698348771647	TRUE	1	-6.74564008788418	5.38881321567597	1.61490021214288	1.95176147368948	0	0	0	0	0.696564612773238	0
cell997	13385	3171	WT	A	0.933881210310048	TRUE	1	-5.88028531150174	4.93438716548981	2.04432520688042	1.38339513065795	0	0	0	0	0.557960114205534	0
cell998	5371	2228	KO	A	1.26605846211134	TRUE	1	0.993267249304538	5.71966238636078	3.06713891174289	0	0	0	1.05146850631947	0	1.88487816444176	0
cell999	9683	2583	WT	A	1.21863058969328	TRUE	1	-6.55981998519253	4.85543223041596	1.97358461494902	1.41055111376809	0	0	0	0	0	0
cell1000	15177	3475	KO	A	0.948804111484483	TRUE	1	-5.40992956237149	4.44369860309662	1.09080698379488	1.60006420913208	0	0	0	0	0	0.840611335970478
cell1001	10773	2765	WT	A	1.26241529750302	TRUE	1	-5.81042628363919	6.38645549434723	1.88243456812075	1.88243456812075	0	0	0	0	0	0
cell1002	12533	3156	KO	A	0.85374611026889	TRUE	1	-5.62926249579739	4.26451964992585	1.43307637792849	0.586615735742599	0	0	0	0.586615735742599	1.22191507959189	1.99920017202319
cell1003	8089	2540	WT	A	1.1991593522067	TRUE	1	-6.42537288741421	6.52642722744049	1.24487292658905	1.97147120315356	0	0	0	0	0	0
cell1004	4339	1788	KO	A	1.1984328186218	TRUE	1	-6.23175530509304	6.29440637249054	2.52759829436268	0	0	0	0	0	0	0
cell1005	7263	2132	WT	A	1.11524163568773	TRUE	1	-7.02363114432644	5.69082875865998	1.32273750494645	0.865772516210381	0	0.865772516210381	0	0	0	0
cell1006	5513	2018	KO	A	0.888808271358607	TRUE	1	-6.72356085852932	6.29474015850129	1.53207918657253	1.53207918657253	0	0	0	0	0	0
cell1007	7975	2468	WT	A	1.75548589341693	TRUE	1	-6.31419949607205	4.54224582332673	1.25499960552708	0	0	0.812670254936202	0.812670254936202	1.25499960552708	1.25499960552708	1.25499960552708
cell1008	4304	1601	WT	A	2.71840148698885	TRUE	1	-7.15327529982876	5.84820194858612	1.73109612299393	2.70407701484736	0	0	0	0	0	0
cell1009	8596	2294	WT	A	0.884132154490461	TRUE	1	-5.36733679847073	6.6619138302237	1.91936945608726	1.73224424421223	0	0.771649525048074	0	0	0	0
cell1010	12207	3126	WT	A	0.958466453674121	TRUE	1	-5.60663514212918	3.34427638668122	1.62845797591822	0.59839799680446	0	0	0	0	1.90723089889957	2.38235931840376
cell1011	6352	2177	WT	A	1.40113350125945	TRUE	1	-5.32078914717984	6.39166017192902	1.98749471708216	1.42277444949045	0	0	0	0	0	0
cell1012	8500	2499	WT	A	1.29411764705882	TRUE	1	-6.07333045081448	4.40026207584443	0.777704568588008	1.74149763444717	0	0	0	0	0	1.20983792377833
cell1013	7514	2374	WT	A	0.452488687782805	TRUE	1	-5.65450935439419	6.6399468960196	1.60794624948637	0.846232613948256	0	0	0	0	0	0
cell1014	8338	2455	WT	A	1.25929479491485	TRUE	1	-5.81104831771206	6.76735349315705	1.94543030259697	1.75739462135718	0	0	0	0	0	0
cell1015	8287	2375	WT	A	0.965367442982985	TRUE	1	-5.927248526376	4.21094437259736	2.2456935392486	0	0	0	0.79150240302559	0	0	1.53042239111432
cell1016	5962	1959	WT	A	1.09023817510902	TRUE	1	-6.36400895194363	6.43293233532013	2.04240897287883	0	0	0.984804902197937	0.984804902197937	0	0	0
cell1017	13139	3007	WT	A	0.898089656747089	TRUE	1	-5.7127926834042	4.12118597644867	1.716776833559	1.84492899918773	0.565934598960287	0	0	0	0.565934598960287	1.716776833559
cell1018	7486	2366	WT	A	0.494255944429602	TRUE	1	-5.37955694274258	3.52551611084046	0	1.30064217465042	0	0.848365951276462	0	0	0	2.75328456806701
cell1019	4955	1841	WT	A	0.665993945509586	TRUE	1	-5.85548667983365	6.54688974041047	1.61667703513962	0	0	0	0	0	0	0
cell1020	11075	2838	WT	A	1.10158013544018	TRUE	1	-5.88518838958096	5.73597498554291	1.7074123012126	1.03171332146558	0	0	0	0	0.64339718795672	0
cell1021	8429	2473	KO	A	1.03215090758097	TRUE	1	-5.37118463591885	7.17777391094269	2.23051561590482	0	0	0	0	0	0.782247369834555	0
cell1022	3311	1351	WT	A	2.62760495318635	TRUE	1	-7.04735117034268	6.02910657543244	0	1.39134050249977	0	0	0	0	0	0
cell1023	5068	1978	KO	A	1.00631412786109	TRUE	1	-6.3357928283627	6.58747001308503	0	2.3856225227418	0	0	0	0	0	0
cell1024	6164	2050	KO	A	1.29785853341986	TRUE	1	-4.91440122203183	6.13966651577057	1.76933823141725	0.964060629758358	0	0	0.964060629758358	0	0	0
cell1025	8742	2735	WT	A	1.06382978723404	TRUE	1	-6.05894045905423	5.5210024895102	1.48878528643126	0.762627998260509	0.762627998260509	0	0	0	0	0
cell1026	10888	3041	WT	A	0.890889052167524	TRUE	1	-4.98073153571438	6.13990016597809	1.32317535611681	2.81021678986011	0	0	0	0	0	0
cell1027	6631	2200	WT	A	1.7342783893832	TRUE	1	-6.29242091254544	4.97965212482514	1.70913925405865	0.919512801301272	0	0	0	0	0	0.919512801301272
