	UMIs	Genes	Genotype	Batch	PercentMT	HasTCR	Cluster	UMAP_1	UMAP_2
cell67	27065	4689	KO	A	0.624422686125993	TRUE	0	1.40625352783847	-6.42496399265228
cell68	18973	3950	KO	A	0.727349391240183	TRUE	0	2.63640899582553	-5.99426798206268
cell69	28264	4787	KO	A	1.00834984432494	TRUE	0	2.10800475998569	-5.96335749011932
cell70	15860	3360	KO	A	1.45649432534678	TRUE	0	0.148931454855686	-6.82110218387542
cell71	23899	4327	KO	A	0.958199087827942	TRUE	0	2.64188308640171	-6.08115677219329
cell72	14285	3494	KO	A	0.777038851942597	TRUE	0	0.780334662634616	-5.73543123584686
cell73	17920	3947	WT	A	1.11049107142857	TRUE	0	0.389907550055271	-7.25932506900726
cell74	29048	4684	KO	A	0.740154227485541	TRUE	0	3.14803523941684	-5.52631477695404
cell75	22184	4156	KO	A	1.18553912729895	TRUE	0	2.93138523026157	-5.70291952472625
cell76	27801	4540	KO	A	1.07550088126326	TRUE	0	1.86952466889072	-6.07039265018402
cell77	21264	4159	KO	A	0.507900677200903	TRUE	0	0.47434062882114	-6.02289299350677
cell78	29739	4603	KO	A	1.0289518813679	TRUE	0	1.91403741760898	-5.42189459186493
cell79	14697	3645	KO	A	1.65339865278628	TRUE	0	0.768758725363498	-4.92315487247406
cell80	26019	4516	KO	A	0.707175525577463	TRUE	0	2.23531932755161	-6.65972618442474
cell81	28276	4674	KO	A	0.894751732918376	TRUE	0	2.71623058243442	-6.44282059055267
cell82	6760	2016	KO	A	1.43491124260355	TRUE	0	1.79203052445102	-5.24515966754852
cell83	13476	3331	WT	A	1.01662214306916	TRUE	0	0.895404051977878	-5.48243574481903
cell84	28237	4487	KO	A	0.828699932712399	TRUE	0	1.73293132706333	-6.32528690677581
cell85	24570	4509	KO	A	1.0989010989011	TRUE	0	2.41205234451938	-6.08393291812835
cell86	24918	4418	KO	A	0.561842844530059	TRUE	0	1.1251241676395	-6.59919266086517
cell87	21035	4429	KO	A	0.727359163299263	TRUE	0	1.35570115967441	-5.11213449817596
cell88	32642	4810	KO	A	0.582072176949942	TRUE	0	2.17833728714634	-4.12336878162323
cell89	14243	3321	WT	A	0.98995998034122	TRUE	0	-0.196307230752224	-6.3385973392099
cell90	17935	3939	KO	A	1.09283523836075	TRUE	0	1.47395343704868	-5.667617839393
cell91	31978	4961	KO	A	0.91312777534555	TRUE	0	3.55652542038608	-5.0501599727243
cell92	16182	3988	KO	A	0.96403411197627	TRUE	0	0.17329664154697	-7.18677238803802
cell93	19020	3898	KO	A	0.920084121976867	TRUE	0	2.31823463364292	-4.67313818317352
cell94	13492	3443	KO	A	1.03765194189149	TRUE	0	-0.330846358102078	-6.6681175647348
cell95	19397	3832	WT	A	0.891890498530701	TRUE	0	0.466625880438571	-6.14373497348724
cell96	21683	3974	KO	A	0.825531522390813	TRUE	0	2.05978937073398	-5.88566021305023
cell97	30908	4945	KO	A	0.899443509770933	TRUE	0	2.32744617386509	-6.00387291294036
cell98	17412	3635	WT	A	1.19457845164255	TRUE	0	1.82198209686924	-5.60484890323577
cell99	14529	3438	KO	A	1.23201872117833	TRUE	0	0.161910485464817	-5.75582174640594
cell100	31621	4933	KO	A	1.16694601688751	TRUE	0	2.81515378876377	-6.18172935825286
cell101	23975	4392	KO	A	0.988529718456726	TRUE	0	0.883825968939548	-6.58188728671966
cell102	15219	3464	WT	A	1.58354688218674	TRUE	0	-0.236787606042141	-6.26220707279144
cell103	30982	4866	KO	A	1.17487573429733	TRUE	0	2.50745363159824	-6.36355404239593
cell104	15041	3362	KO	A	1.44272322318995	TRUE	0	-0.51857929305386	-5.70099882465301
cell105	20040	3814	KO	A	1.03792415169661	TRUE	0	1.37279767914463	-6.66647438388763
cell106	16380	3704	KO	A	0.671550671550672	TRUE	0	1.02639884873081	-6.0126581607431
cell107	13900	3314	KO	A	0.81294964028777	TRUE	0	0.13982291145969	-7.04769520145355
cell108	34341	5195	KO	A	0.463003407006202	TRUE	0	2.41361493988681	-6.6980829654306
cell109	11604	3089	KO	A	0.965184419165805	FALSE	0	1.40254850311924	-6.03319267612396
cell110	14888	3155	KO	A	0.933637829124127	TRUE	0	-0.237094927590603	-6.46181778293548
cell111	17815	4179	KO	A	1.02161100196464	TRUE	0	2.06168956680942	-4.57020668369232
